,Code,IES_name,Number_employees
0,26257 ,CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS ,1841
1,26256 ,CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA ,1572
2,26201 ,COLEGIO PEDRO II ,2345
3,26443 ,EMPRESA BRAS. DE SERVICOS HOSPITALARES ,25750
4,26298 ,FUND COORD APERF PESSOAL NIVEL SUPERIOR ,409
5,26350 ,FUND. UNIV FEDERAL DA GRANDE DOURADOS ,1585
6,26285 ,FUND. UNIVERSIDADE DE SAO JOAO DEL REI ,1493
7,26268 ,FUND. UNIVERSIDADE FEDERAL DE RONDONIA ,1301
8,26284 ,FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE ,1077
9,26230 ,FUND.UNIV.FED.DO VALE DO SAO FRANCISCO ,1018
10,26292 ,FUNDACAO JOAQUIM NABUCO ,286
11,26277 ,FUNDACAO UNIV. FEDERAL DE OURO PRETO ,1893
12,26274 ,FUNDACAO UNIV. FEDERAL DE UBERLANDIA ,5552
13,26271 ,FUNDACAO UNIVERSIDADE DE BRASILIA ,6264
14,26270 ,FUNDACAO UNIVERSIDADE DO AMAZONAS ,3722
15,26272 ,FUNDACAO UNIVERSIDADE DO MARANHAO ,3986
16,26251 ,FUNDACAO UNIVERSIDADE FED. DO TOCANTINS ,2045
17,26278 ,FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS ,2943
18,26281 ,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE ,3371
19,26352 ,FUNDACAO UNIVERSIDADE FEDERAL DO ABC ,1483
20,26266 ,FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA ,1864
21,26286 ,FUNDACAO UNVERSIDADE FEDERAL DO AMAPA ,1245
22,26106 ,FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO ,541
23,99013 ,HOSPITAL DE CLINICAS DE PORTO ALEGRE ,7070
24,26107 ,INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS ,426
25,26105 ,INSTITUTO BENJAMIN CONSTANT ,270
26,26410 ,INSTITUTO FED. DO NORTE DE MINAS GERAIS ,1379
27,26411 ,INSTITUTO FED.DO SUDESTE DE MINAS GERAIS ,1307
28,26404 ,INSTITUTO FEDERAL BAIANO ,1543
29,26422 ,INSTITUTO FEDERAL CATARINENSE ,1872
30,26427 ,INSTITUTO FEDERAL DA BAHIA ,2654
31,26417 ,INSTITUTO FEDERAL DA PARAIBA ,2389
32,26402 ,INSTITUTO FEDERAL DE ALAGOAS ,1697
33,26428 ,INSTITUTO FEDERAL DE BRASILIA ,1098
34,26429 ,INSTITUTO FEDERAL DE GOIAS ,2146
35,26414 ,INSTITUTO FEDERAL DE MATO GROSSO ,2086
36,26415 ,INSTITUTO FEDERAL DE MATO GROSSO DO SUL ,1156
37,26409 ,INSTITUTO FEDERAL DE MINAS GERAIS ,1946
38,26418 ,INSTITUTO FEDERAL DE PERNAMBUCO ,2236
